Cure,Mu,Sigma,
-2.459703,2.848755,0.177406,SQ;F
-2.502571,2.590438,0.215866,SQ;F
-4.779179,2.300876,0.17061,SQ;F
-1.9346,2.418456,0.218627,SQ;F
-2.414771,2.401461,0.230813,SQ;F
-3.104313,2.276137,0.262949,SQ;F
-3.603895,1.988009,0.240671,SQ;F
-3.054498,1.792222,0.069028,SQ;F
-3.561149,1.836892,0.132308,SQ;F
-3.282991,1.674752,0.123694,SQ;F
-4.218872,1.48478,0.142638,SQ;F
-18.832989,5.434943,0.580924,OTH;F
-19.819057,4.672619,0.528215,OTH;F
-20.014788,4.424663,0.552493,OTH;F
-20.161697,3.735675,0.433529,OTH;F
-2.265486,4.183009,0.545487,OTH;F
-1.273473,3.543162,0.48985,OTH;F
-1.421365,2.999843,0.386271,OTH;F
-2.760419,2.587855,0.358867,OTH;F
-0.384513,2.859651,-0.072855,OTH;F
-1.652603,3.008593,0.274195,OTH;F
-2.788681,2.803289,0.41026,OTH;F
-5.052464,2.471085,0.431471,OTH;F
-2.048727,3.009466,0.258041,OTH;F
-2.424367,2.948527,0.351827,OTH;F
-2.996582,2.630996,0.299867,OTH;F
-4.853433,2.101521,0.302024,OTH;F
-2.179955,2.49507,0.320229,OTH;F
-2.692789,2.259775,0.380184,OTH;F
-3.699625,1.882003,0.395655,OTH;F
-3.30773,1.437972,0.333672,OTH;F
-3.8629,1.802886,0.173115,OTH;F
-3.563981,1.562345,0.187754,OTH;F
-3.730722,1.291446,0.192325,OTH;F
-3.776977,1.058854,0.180089,OTH;F
